DateTime,Entries,UniqueIPs
1596754804,3800,3800
1596756604,3245,3245
1596758405,2675,2675
1596760204,2208,2208
1596762006,1831,1831
1596763806,1630,1630
1596765608,1468,1468
1596767408,955,955
1596770108,750,750
1596771909,574,574
1596773709,626,626
1596775510,677,677
1596777310,621,621
1596779111,466,466
1596780911,431,431
1596782713,452,452
1596784512,388,388
1596786315,308,308
1596788116,507,507
1596789917,683,683
1596791719,762,762
1596793520,806,806
1596795318,818,818
1596797116,877,877
1596798917,1036,1036
1596800716,939,939
1596802518,911,911
1596804316,878,878
1596807018,736,736
1596808817,883,883
1596810617,907,907
1596812416,1102,1102
1596814217,1019,1019
1596816016,963,963
1596817815,616,616
1596819616,1121,1121
1596821417,1545,1545
1596823216,1914,1914
1596825015,2148,2148
1596826816,2186,2186
1596828616,1836,1836
1596830415,1691,1691
1596832215,1565,1565
1596834014,1402,1402
1596835811,1197,1197
1596837613,1230,1230
1596839413,1198,1198
1596841214,1089,1089
1596843014,1065,1065
1596844814,980,980
1596846614,1019,1019
1596848413,939,939
1596850215,1071,1071
1596852015,1064,1064
1596853818,1066,1066
1596855615,1031,1031
1596857417,884,884
1596859215,710,710
1596861016,624,624
1596862816,731,731
1596864616,1231,1231
1596866415,1666,1666
1596868214,1928,1928
1596870016,2184,2184
1596871817,2422,2422
1596873614,2861,2861
1596875414,3132,3132
1596877215,3459,3459
1596879016,3583,3583
1596880812,3677,3677
1596882611,3788,3788
1596884412,4097,4097
1596886211,4465,4465
1596888012,4389,4389
1596889811,4435,4435
1596891611,4510,4510
1596893410,4629,4629
1596895210,5081,5081
1596897010,4984,4984
1596898809,4909,4909
1596900609,4564,4564
1596902409,4724,4724
1596904208,4632,4632
1596906008,3553,3553
1596907807,4001,4001
1596909606,4255,4255
1596911405,3813,3813
1596913208,3752,3752
1596915008,3525,3525
1596916807,3624,3624
1596918608,3693,3693
1596920408,2814,2814
1596922208,2373,2373
1596924008,2066,2066
1596925809,1733,1733
1596927608,1620,1620
1596929409,1480,1480
1596931208,1594,1594
1596933009,1745,1745
1596934808,1934,1934
1596936610,2073,2073
1596938409,2262,2262
1596940209,2411,2411
1596942009,2585,2585
1596943809,2687,2687
1596945609,2826,2826
1596947409,2960,2960
1596949209,3264,3264
1596951010,3526,3526
1596952809,4007,4007
1596954609,4298,4298
1596956408,4373,4373
1596958207,4327,4327
1596960007,4515,4515
1596961808,4516,4516
1596963608,4621,4621
1596965406,4712,4712
1596967207,5058,5058
1596969007,5265,5265
1596970806,5419,5419
1596972606,5400,5400
1596974406,5361,5361
1596976206,5203,5203
1596978005,5100,5100
1596979806,5220,5220
1596981606,5421,5421
1596983405,5342,5342
1596985206,5462,5462
1596987005,5715,5715
1596988804,5785,5785
1596990604,5775,5775
1596992405,5520,5520
1596994204,5510,5510
1596996005,5447,5447
1596997804,5419,5419
1596999604,5530,5530
1597001404,5631,5631
1597003204,5891,5891
1597005005,5772,5772
1597006805,5795,5795
1597008604,5889,5889
1597010405,5914,5914
1597012204,5918,5918
1597014004,6173,6173
1597015805,6167,6167
1597017604,5996,5996
1597019404,5924,5924
1597021205,5925,5925
1597023004,6017,6017
1597024804,6259,6259
1597026605,6211,6211
1597028404,6176,6176
1597030204,6320,6320
1597032004,6255,6255
1597033805,6189,6189
1597035604,6152,6152
1597037405,6201,6201
1597039205,6114,6114
1597041004,6187,6187
1597042805,6069,6069
1597044605,6138,6138
1597046404,6088,6088
1597048204,6431,6431
1597050005,6565,6565
1597051804,6609,6609
1597053604,6648,6648
1597055405,6581,6581
1597057205,6544,6544
1597059004,6690,6690
1597060805,6810,6810
1597062604,6693,6693
1597064405,7205,7205
1597066204,7355,7355
1597068004,7410,7410
1597069804,7245,7245
1597071605,7315,7315
1597073404,7410,7410
1597075205,7544,7544
1597077005,7377,7377
1597078804,7477,7477
1597080604,7394,7394
1597082404,7199,7199
1597084204,7160,7160
1597086004,7184,7184
1597087805,7229,7229
1597089605,7220,7220
1597091405,7059,7059
1597093204,6928,6928
1597095004,6995,6995
1597096805,6601,6601
1597098605,6386,6386
1597101304,6670,6670
1597103104,6783,6783
1597104905,6690,6690
1597106704,6654,6654
1597108503,6703,6703
1597110304,6725,6725
1597112104,6404,6404
1597113904,6398,6398
1597115705,6172,6172
1597117504,6271,6271
1597119304,6114,6114
1597121104,6105,6105
1597122905,6077,6077
1597124704,6034,6034
1597126505,6005,6005
1597128304,6107,6107
1597130105,5891,5891
1597131904,5840,5840
1597133704,5648,5648
1597135504,5555,5555
1597137304,5671,5671
1597139103,5745,5745
1597140903,5897,5897
1597142704,6077,6077
1597144504,6369,6369
1597146304,6728,6728
1597148104,6776,6776
1597149904,6898,6898
1597151704,7079,7079
1597153504,7130,7130
1597155304,7245,7245
1597157104,7412,7412
1597158904,7573,7573
1597160704,7714,7714
1597162504,7566,7566
1597164304,7383,7383
1597166104,7325,7325
1597167904,7202,7202
1597169704,6590,6590
1597171503,6621,6621
1597173304,6424,6424
1597175103,6423,6423
1597176904,6264,6264
1597178705,6306,6306
1597180504,6315,6315
1597182304,6210,6210
1597184104,6283,6283
1597185905,6231,6231
1597187704,6052,6052
1597189503,6058,6058
1597191304,6059,6059
1597193104,6227,6227
1597194904,6197,6197
1597196705,6391,6391
1597198504,6628,6628
1597200305,6908,6908
1597202104,6776,6776
1597203903,6754,6754
1597205705,6652,6652
1597207504,6372,6372
1597209304,6168,6168
1597211104,6181,6181
1597212904,6292,6292
1597214704,6320,6320
1597216504,6349,6349
1597218304,6376,6376
1597220103,6398,6398
1597221903,6411,6411
1597223704,6440,6440
1597225504,6469,6469
1597227304,6506,6506
1597229104,6603,6603
1597230903,6223,6223
1597232703,5868,5868
1597234503,5452,5452
1597236302,5066,5066
1597238103,4655,4655
1597239903,4381,4381
1597241702,4035,4035
1597243502,3577,3577
1597245302,3144,3144
1597247102,2806,2806
1597248901,2560,2560
1597250702,2213,2213
1597252501,1751,1751
1597254301,1435,1435
1597256101,1031,1031
1597257902,1058,1058
1597259701,1074,1074
1597261501,1070,1070
1597263301,1069,1069
1597265101,1074,1074
1597266901,1102,1102
1597268701,1103,1103
1597270501,1070,1070
1597272301,1037,1037
1597274101,988,988
1597275901,1042,1042
1597277701,1060,1060
1597279501,1053,1053
1597281301,1040,1040
1597283101,1015,1015
1597284901,1003,1003
1597286701,963,963
1597288501,968,968
1597290301,954,954
1597292101,974,974
1597293901,1016,1016
1597295701,1049,1049
1597297501,1071,1071
1597299301,1010,1010
1597301101,1000,1000
1597302901,982,982
1597304701,970,970
1597306501,998,998
1597308301,1037,1037
1597310101,1031,1031
1597311901,1029,1029
1597313701,1074,1074
1597315501,1056,1056
1597317301,1065,1065
1597319101,1062,1062
1597320901,1052,1052
1597322701,1064,1064
1597324501,1092,1092
1597326301,1107,1107
1597328101,1139,1139
1597329901,1154,1154
1597331701,1153,1153
1597333501,1182,1182
1597335301,1233,1233
1597337101,1258,1258
1597338901,1270,1270
1597340701,1289,1289
1597342501,1267,1267
1597344301,1293,1293
1597346101,1312,1312
1597347901,1378,1378
1597349701,1396,1396
1597351501,1387,1387
1597353301,1393,1393
1597355101,1379,1379
1597356902,1342,1342
1597358701,1354,1354
1597360501,1371,1371
1597362301,1395,1395
1597364101,1391,1391
1597365901,1398,1398
1597367701,1376,1376
1597369501,1368,1368
1597371301,1428,1428
1597373101,1388,1388
1597374901,1385,1385
1597376701,1386,1386
1597378501,1383,1383
1597380301,1328,1328
1597382101,1361,1361
1597383902,1378,1378
1597385701,1376,1376
1597387501,1338,1338
1597389301,1298,1298
1597391101,1300,1300
1597392901,1287,1287
1597394701,1305,1305
1597397401,1330,1330
1597399201,1330,1330
1597401001,1340,1340
1597402801,1365,1365
1597404601,1369,1369
1597407301,1376,1376
1597409101,1369,1369
1597410901,1382,1382
1597412701,1434,1434
1597414501,1442,1442
1597416301,1396,1396
1597418101,1422,1422
1597419901,1442,1442
1597421701,1506,1506
1597423501,1536,1536
1597425301,1542,1542
1597427101,1493,1493
1597428901,1466,1466
1597430701,1546,1546
1597432501,1564,1564
1597434301,1501,1501
1597436101,1474,1474
1597437902,1415,1415
1597439701,1430,1430
1597441501,1464,1464
1597443301,1471,1471
1597445101,1445,1445
1597446901,1373,1373
1597448701,1347,1347
1597450501,1328,1328
1597452301,1313,1313
1597454101,1344,1344
1597455901,1364,1364
1597457701,1334,1334
1597459501,1321,1321
1597461301,1303,1303
1597463101,1261,1261
1597464901,1235,1235
1597466701,1237,1237
1597468501,1227,1227
1597470301,1220,1220
1597472101,1220,1220
1597473902,1217,1217
1597475701,1179,1179
1597477501,1166,1166
1597479301,1164,1164
1597481101,1161,1161
1597482901,1200,1200
1597484701,1166,1166
1597486501,1158,1158
1597488301,1095,1095
1597490101,1103,1103
1597491901,1136,1136
1597493701,1150,1150
1597495502,1144,1144
1597497301,1126,1126
1597499101,1099,1099
1597500901,1144,1144
1597502701,1157,1157
1597504501,1138,1138
1597506301,1140,1140
1597508101,1175,1175
1597509901,1164,1164
1597511701,1157,1157
1597513501,1141,1141
1597515301,1134,1134
1597517101,1118,1118
1597518901,1552,1552
1597520701,2241,2241
1597522502,3550,3550
1597524301,4730,4730
1597526101,5212,5212
1597527901,5703,5703
1597529702,6050,6050
1597531502,6466,6466
1597533302,6754,6754
1597535102,7034,7034
1597536902,7257,7257
1597538702,7494,7494
1597540503,7671,7671
1597542303,7799,7799
1597544103,7974,7974
1597545903,8135,8135
1597547703,8344,8344
1597549503,8573,8573
1597551304,7223,7223
1597553104,5831,5831
1597554904,4822,4822
1597557604,3865,3865
1597559404,3291,3291
1597561204,2997,2997
1597563004,2748,2748
1597564804,2644,2644
1597566604,2989,2989
1597568404,3507,3507
1597570205,3927,3927
1597572005,4030,4030
1597573805,4185,4185
1597575606,4419,4419
1597577407,4487,4487
1597579205,4683,4683
1597581005,4823,4823
1597582807,4972,4972
1597584605,4920,4920
1597587305,5047,5047
1597589105,5309,5309
1597590906,5255,5255
1597592705,4973,4973
1597594505,4642,4642
1597596305,4391,4391
1597598105,4134,4134
1597599905,3844,3844
1597601705,3662,3662
1597603505,3590,3590
1597605306,3462,3462
1597607106,3104,3104
1597608905,2869,2869
1597610706,2806,2806
1597612504,2957,2957
1597614305,3196,3196
1597616105,3308,3308
1597617905,3423,3423
1597619705,3559,3559
1597621504,3671,3671
1597623304,3722,3722
1597625104,3936,3936
1597626904,4116,4116
1597628704,4268,4268
1597630505,4341,4341
1597632305,4441,4441
1597634105,4575,4575
1597635907,4428,4428
1597637706,4227,4227
1597639505,3791,3791
1597641305,3863,3863
1597643106,3891,3891
1597644906,3870,3870
1597646705,3877,3877
1597648504,3986,3986
1597650305,3978,3978
1597652104,3993,3993
1597653904,4188,4188
1597655705,4431,4431
1597657505,4623,4623
1597659304,4734,4734
