DateTime,AddedIPs,RemovedIPs
1593116409,0,1
1593122172,0,2
1593128024,2,0
1593130814,1,0
1593132734,0,1
1593136577,0,1
1593138494,1,1
1593140550,1,0
1593142589,1,0
1593144580,0,2
1593157930,0,3
1593161792,1,0
1593163700,1,0
1593168739,1,1
1593177475,0,1
1593181577,0,1
1593183422,0,10
1593189802,1,0
1593208092,1,0
1593213870,0,2
1593219697,0,1
1593225389,0,1
1593229215,0,1
1593238809,1,0
1593246491,0,1
1593255372,1,1
1593264044,1,0
1593276497,0,1
1593278428,1,0
1593282254,0,1
1593286130,1,0
1593294730,0,1
1593319695,1,0
1593321629,0,1
1593330254,1,0
1593336011,1,0
1593341783,0,1
1593350459,0,1
1593354257,1,0
1593368003,1,0
1593369869,0,1
1593373714,0,1
1593390272,3,0
1593396096,0,1
1593402015,1,0
1593405856,0,1
1593417374,0,1
1593422174,3,0
1593429874,1,0
1593446597,2,0
1593450510,1,0
1593454358,1,1
1593469690,1,0
1593476677,0,3
1593488418,0,1
1593494178,0,1
1593507756,0,3
1593515559,0,1
1593525158,2,0
1593527077,1,1
1593529060,3,0
1593532979,0,2
1593536919,0,1
1593538809,1,0
1593540736,0,1
1593544821,1,0
1593554496,3,0
1593558523,1,0
1593573854,1,1
1593581829,1,0
1593585764,1,0
1593607234,3,0
1593613207,0,2
1593617109,0,1
1593620890,1,0
1593622911,1,0
1593625042,0,1
1593628809,1,0
1593630749,0,1
1593640333,3,1
1593644169,0,1
1593649948,3,0
1593652118,1,0
1593660274,0,1
1593668173,0,1
1593672268,0,1
1593679941,2,0
1593692443,1,0
1593694340,1,7
1593696258,1,0
1593698194,1,0
1593708738,0,2
1593712579,1,0
1593716568,0,1
1593726262,0,3
1593735918,0,3
1593739693,0,1
1593751483,2,0
1593759143,0,1
1593761059,1,0
1593768035,1,2
1593773805,1,0
1593779571,0,1
1593781401,1,1
1593783205,0,1
1593785327,0,1
1593795174,1,0
1593799001,0,1
1593814364,3,0
1593833767,2,0
1593837640,0,1
1593839552,0,1
1593847240,0,1
1593852972,0,1
1593856976,2,0
1593860932,0,1
1593899536,0,3
1593901484,1,0
1593905292,1,0
1593907324,1,0
1593909130,2,0
1593914900,2,0
1593920653,0,2
1593926413,0,1
1593933885,1,0
1593942757,0,2
1593965775,1,0
1593971568,1,0
1593987883,0,1
1593991934,0,2
1593994104,0,2
1593999853,1,0
1594001786,2,2
1594003723,1,0
1594007532,1,0
1594017893,1,0
1594021717,0,1
1594027457,1,0
1594037082,1,1
1594042811,1,0
1594056283,2,0
1594066097,1,0
1594069956,1,0
1594097826,0,1
1594099700,2,0
1594104514,0,3
1594110258,1,0
1594121133,1,0
1594128968,0,2
1594132838,1,0
1594134997,1,0
1594136897,1,0
1594138814,1,0
1594142673,1,0
1594154170,0,6
1594156133,0,1
1594165954,1,0
1594168136,1,0
1594173486,0,1
1594175548,2,0
1594187325,1,1
1594193178,1,0
1594196892,1,1
1594207487,0,1
1594209413,1,0
1594219000,0,1
1594220909,0,1
1594222814,0,1
1594228568,0,1
1594230535,2,0
1594236249,1,0
1594253580,3,1
1594255487,0,1
1594261455,0,2
1594265290,0,1
1594278969,0,1
1594280891,1,0
1594297209,0,1
1594301078,2,0
1594304887,1,0
1594306898,0,1
1594312567,1,0
1594318594,0,2
1594322430,1,2
1594326284,2,0
1594328192,3,0
1594335131,2,0
1594338975,1,0
1594340914,0,3
1594355534,2,0
1594367553,0,1
1594387689,0,1
1594390841,0,1
1594392797,0,1
1594400488,1,1
1594408340,2,0
1594410287,0,1
1594414107,0,4
1594416039,3,0
1594421775,0,3
1594423720,0,1
1594437380,1,1
1594443153,0,2
1594446973,1,0
1594453006,1,0
1594474093,1,0
1594484180,1,0
1594486118,0,1
1594491885,2,0
1594495693,0,2
1594499797,0,1
1594503611,0,3
1594518970,3,0
1594524998,0,1
1594531006,1,0
1594532913,0,1
1594553060,1,0
1594561695,0,1
1594571331,0,1
1594577294,0,2
1594588827,1,0
1594604414,0,2
1594606334,1,1
1594608302,1,0
1594617875,2,0
1594625111,2,0
1594639486,1,1
1594663933,0,1
1594665882,0,1
1594669689,1,0
1594691798,1,0
1594693694,0,2
1594703556,1,0
1594711250,0,1
1594736177,1,0
1594741930,0,1
1594743880,0,1
1594754685,0,1
1594766175,1,0
1594777932,1,1
1594792356,1,1
1594800386,1,0
1594819550,1,1
1594826183,1,0
1594831989,1,0
1594851375,0,1
1594866037,0,2
1594871792,1,0
1594878494,0,1
1594880440,0,1
1594905942,1,1
1594912320,0,1
1594918330,1,1
1594951726,1,0
1594992287,0,1
1594994186,1,0
1595004014,0,1
1595005961,0,1
1595038135,0,1
1595051535,1,0
1595055393,0,1
1595063292,1,0
1595082007,0,1
1595085959,0,1
1595089933,1,0
1595112970,2,0
1595119694,1,0
1595149961,0,1
1595157613,1,0
1595173240,1,0
1595175136,0,1
1595191003,1,0
1595198649,0,1
1595202529,0,1
1595206332,0,1
1595218096,1,0
1595247174,0,1
1595258653,1,0
1595276172,0,1
1595280043,1,0
1595281929,2,1
1595283885,1,0
1595285771,1,0
1595290809,0,1
1595294680,1,0
1595305208,2,1
1595310969,1,0
1595319884,1,0
1595326813,1,0
1595338334,1,0
1595346009,0,1
1595347965,1,0
1595367159,0,1
1595371210,0,1
1595382727,0,1
1595406746,0,1
1595424014,0,1
1595440336,1,0
1595448085,0,6
1595457854,0,1
1595474411,0,1
1595482091,1,0
1595486936,1,0
1595506584,3,0
1595508528,1,0
1595534892,0,1
1595544734,1,0
1595592105,0,3
1595595780,0,1
1595597596,1,0
1595603574,1,0
1595632137,0,1
1595651289,0,2
1595658281,2,0
1595683512,1,0
1595690210,0,1
1595697853,0,1
1595748034,0,1
1595772554,1,0
1595778289,0,1
1595818339,1,0
1595828226,1,0
1595833959,1,0
1595902820,1,0
1595917487,0,1
1595921287,1,1
1595946358,1,0
1595955849,1,0
1595963562,1,0
1595988533,1,1
1595992330,0,1
1596007966,0,1
1596011784,1,0
1596017533,2,0
1596029087,1,0
1596033144,0,1
1596035092,1,0
1596040846,0,2
1596044729,1,0
1596052363,3,0
1596073927,0,1
1596075882,1,0
1596090486,1,0
1596099131,0,1
1596103005,0,1
1596104894,0,1
1596111642,3,1
1596115477,0,1
1596119291,1,0
1596121353,0,1
1596123159,1,0
1596125348,7,0
1596127216,1,0
1596129201,8,0
1596131053,0,1
1596134927,0,1
1596138732,0,3
1596163934,1,0
1596178370,3,0
1596197793,0,3
1596203530,1,0
1596205456,0,1
1596207403,0,1
1596209294,1,0
1596212412,0,8
1596214330,0,2
1596216284,0,7
1596233777,1,0
1596246806,1,0
1596264535,0,3
1596270284,1,0
1596279777,2,0
1596285612,1,0
1596289454,3,1
1596307689,1,0
1596321536,0,1
1596323372,2,0
1596325252,1,0
1596331009,1,0
1596344630,1,0
1596352368,0,1
1596356178,0,1
1596361938,0,1
1596363891,0,1
1596365771,0,2
1596371779,0,1
1596375620,0,1
1596379491,1,0
1596387138,1,0
1596394969,0,1
1596412351,0,1
1596428657,0,1
1596432496,1,0
1596446895,1,0
1596458680,0,6
1596464650,1,0
1596468492,1,0
1596473288,0,1
1596509236,1,0
1596519366,0,1
1596525140,1,0
1596534729,0,1
1596542887,1,0
1596550843,0,1
1596554668,0,1
1596564282,1,0
1596575781,2,0
1596594254,0,1
1596606728,0,1
1596610955,1,0
1596613000,0,1
1596628362,0,1
1596638896,3,0
1596658361,0,1
1596662174,0,1
1596696976,0,2
1596718336,0,1
1596730573,1,3
1596759375,3,0
1596804973,1,0
1596818420,0,1
1596829936,3,0
1596846300,0,3
1596848172,2,0
1596869341,1,0
1596878934,2,0
1596892574,0,1
1596913708,3,0
1596915616,0,3
1596933137,0,2
1596937002,3,0
1596942766,3,0
1596950421,2,0
1596956176,0,1
1596963865,0,2
1596971566,2,0
1596997208,1,0
1597001082,0,3
1597008729,3,0
1597022175,0,3
1597027944,0,3
1597029884,1,0
1597035694,0,1
1597041407,0,1
1597058680,0,2
1597083854,0,1
1597096341,0,3
1597111716,3,0
1597117480,0,1
1597123236,3,0
1597125133,1,0
1597145291,1,0
1597147285,4,0
1597164524,1,0
1597197373,0,3
1597209158,0,3
1597211054,0,1
1597228597,1,0
1597230495,3,0
1597232539,0,4
1597234360,0,1
1597249934,0,1
1597256174,1,0
1597265806,2,0
1597277321,1,0
1597279214,1,0
1597281138,1,0
1597299368,1,0
1597301303,1,0
1597306124,1,0
1597315741,1,4
1597331330,1,0
1597342838,0,1
1597363693,0,1
1597365613,0,1
1597367566,0,1
1597369450,4,0
1597384883,0,1
1597392762,0,1
1597415777,0,2
1597431056,1,0
1597442889,0,3
1597456359,0,3
1597460178,0,1
1597490898,3,0
1597518148,0,1
1597525933,2,0
1597531691,1,0
1597543301,1,0
1597570092,3,0
1597578038,0,3
1597583798,4,0
1597607079,2,0
1597610890,2,0
1597612839,0,2
1597623612,0,1
1597629382,0,1
1597646655,1,0
