DateTime,AddedIPs,RemovedIPs
1597250882,29,24
1597251721,2,0
1597252922,1,0
1597253581,1,0
1597254122,3,0
1597254722,23,26
1597254979,1,0
1597255321,2,0
1597255921,3,0
1597256521,3,0
1597257121,6,0
1597257182,1,0
1597257721,3,0
1597258321,1,0
1597258562,14,33
1597258921,0,1
1597260121,5,0
1597261321,1,0
1597261921,1,0
1597262409,34,26
1597262521,5,0
1597263721,2,0
1597264321,22,21
1597265459,2,1
1597266121,1,0
1597267321,1,0
1597267981,2,0
1597269121,2,0
1597270083,31,33
1597270921,1,0
1597271582,1,0
1597272122,3,0
1597273322,2,0
1597273923,59,42
1597275181,1,0
1597275721,26,0
1597276321,3,0
1597276921,2,0
1597277763,17,16
1597278122,1,2
1597279321,2,1
1597279668,2,0
1597280521,1,0
1597282381,1,0
1597282922,2,0
1597283521,40,27
1597284121,3,0
1597285321,5,0
1597286521,6,0
1597287362,37,52
1597287722,1,0
1597288922,2,1
1597290121,2,0
1597291212,57,63
1597291322,3,0
1597292522,2,0
1597293121,3,3022
1597293722,3,1
1597294321,1,0
1597294678,1,0
1597295282,3016,0
1597296721,2,0
1597297202,37,22
1597298522,1,0
1597299121,2,0
1597299721,1,0
1597300381,2,0
1597301048,21,26
1597301522,2,0
1597303321,2,0
1597305122,1,0
1597306053,4,0
1597306802,43,21
1597306921,4,0
1597308121,3,0
1597308722,29,29
1597309321,2,0
1597309921,1,0
1597310521,1,0
1597311721,2,0
1597312321,1,1
1597312922,1,0
1597314482,28,28
1597315321,1,0
1597315922,1,0
1597316403,17,22
1597316521,2,0
1597317121,2,0
1597317721,3,0
1597318322,9,2446
1597319521,1,0
1597320242,2445,0
1597322161,22,20
1597322521,5,0
1597322522,1,0
1597324321,2,0
1597324921,5,0
1597325581,1,0
1597326004,24,28
1597326121,2,0
1597326721,0,1
1597328521,4,0
1597329121,5,0
1597329842,26,21
1597332121,1,0
1597332721,1,0
1597332781,1,0
1597335604,22,22
1597336922,2,0
1597337522,29,29
1597338121,4,1
1597339981,6,0
1597340521,7,0
1597341362,26,20
1597341721,1,0
1597344121,4,0
1597345209,17,22
1597345921,1,0
1597346521,1,1
1597347196,25,21
1597347721,2,0
1597349042,21,24
1597349522,1,0
1597350122,1,0
1597351322,1,2
1597352521,1,3
1597353363,24,20
1597353867,4,0
1597354921,2,0
1597357231,1,0
1597358521,3,0
1597359122,21,28
1597360321,2,1
1597360921,8,0
1597361521,3,0
1597361581,1,0
1597362122,0,1
1597362962,42,22
1597363921,1,0
1597364521,3,1
1597365721,1,0
1597366809,21,21
1597366921,2,0
1597368121,7,0
1597368723,4,2748
1597368960,2,0
1597369321,2,0
1597370641,2467,1
1597371721,1,0
1597372562,329,53
1597374482,59,52
1597375321,2,0
1597375982,1,0
1597376521,1,0
1597377121,1,0
1597380243,35,39
1597380721,1,2
1597381321,1,0
1597381921,16,0
1597384082,34,31
1597384322,1,0
1597384921,1,0
1597387922,20,24
1597388522,2,0
1597391762,30,22
1597392121,3,0
1597392721,2,0
1597393322,7,0
1597394521,2,0
1597395603,22,30
1597396071,6,0
1597396921,2,0
1597397523,47,54
1597397582,1,0
1597398721,2,0
1597399443,2,1
1597401361,25,19
1597401722,1,1
1597402921,2,0
1597403521,1,0
1597404121,2,0
1597405202,24,15
1597405322,0,1
1597405922,3,0
1597405977,1,0
1597406521,1,0
1597407121,1,0
1597407721,1,0
1597409044,17,13
1597409521,1,0
1597410962,13,16
1597411321,2,0
1597411921,4,0
1597412521,1,0
1597412881,31,29
1597413530,1,0
1597413721,2,0
1597414922,2,0
1597416121,4,0
1597416722,30,28
1597417321,1,0
1597418521,2,0
1597419121,2,0
1597419721,0,2
1597420562,20,35
1597421035,9,0
1597421522,4,0
1597422781,1,0
1597424411,35,20
1597424521,1,0
1597425721,3,0
1597426324,43,46
1597426381,1,0
1597426921,3,0
1597428242,29,26
1597428721,1,0
1597429321,1,0
1597430163,17,24
1597430640,2,0
1597431721,2,0
1597432322,2,0
1597432922,6,0
1597433521,6,0
1597434002,16,12
1597434122,1,0
1597435321,2,0
1597435921,4,0
1597436522,4,0
1597437181,3,1
1597437843,23,17
1597438321,2,1
1597438922,1,0
1597439762,12,14
1597440121,1,0
1597440721,1,0
1597441066,1,0
1597441321,5,0
1597442521,7,0
1597443121,6,0
1597443721,4,0
1597444922,3,0
1597445522,30,25
1597446122,4,0
1597447321,6,0
1597447921,1,0
1597448275,1,0
1597448521,4,0
1597449363,49,17
1597449721,13,0
1597450321,0,1
1597450921,5,1
1597452121,1,0
1597453206,22,18
1597453321,8,0
1597453922,6,0
1597454521,8,0
1597455194,35,30
1597455395,2,1
1597456921,8,0
1597457522,1,0
1597458121,3,2
1597458962,43,52
1597459322,5,1
1597460521,1,0
1597460883,44,48
1597461721,4,0
1597463025,4,0
1597463522,10,0
1597464122,1,0
1597464721,5,0
1597465321,1,0
1597466644,37,38
1597467121,6,0
1597467721,4,0
1597468322,4,0
1597468921,3,0
1597470121,1,0
1597470481,34,35
1597471322,1,0
1597473722,2,0
1597474323,22,21
1597474922,1,0
1597476121,3,1
1597476782,1,0
1597477321,4,0
1597478162,21,16
1597478521,2,3
1597479721,1,0
1597482010,26,19
1597482122,3,0
1597482721,1,0
1597483321,2,0
1597483922,2,0
1597485121,2,0
1597485842,16,17
1597487763,16,25
1597488121,1,0
1597490521,3,0
1597491122,1,0
1597491603,18,27
1597491721,1,0
1597492321,1,0
1597493521,1,0
1597494121,4,0
1597495443,22,17
1597496522,2,0
1597497721,1,0
1597498381,1,0
