DateTime,AddedIPs,RemovedIPs
1596924917,4,0
1596927917,0,1
1596928517,5,0
1596932116,6,0
1596935717,8,0
1596939017,1,0
1596939318,3,0
1596942919,5,0
1596945916,0,1
1596946517,8,0
1596950117,8,0
1596953717,3,0
1596954017,11,0
1596957016,1,0
1596957317,4,0
1596957618,4,0
1596960617,1,0
1596960918,3,0
1596961217,5,0
1596964520,3,0
1596964818,2,0
1596968118,49,0
1596968717,0,1
1596971720,2,0
1596972318,1,0
1596974717,0,1
1596975319,4,0
1596975618,3,0
1596978917,4,0
1596979217,2,0
1596981918,1,0
1596982518,5,0
1596984318,8,0
1596986117,2,0
1596986416,2,0
1596987316,6,0
1596989716,2,0
1596990017,1,0
1596993316,4,0
1596993617,1,0
1596996918,4,0
1596999917,0,1
1597000216,0,1
1597000520,2,0
1597000818,2,0
1597004117,6,0
1597004417,15,0
1597007717,2,0
1597008018,2,0
1597011318,5,0
1597014916,1,0
1597018516,3,0
1597020018,22,0
1597020317,4,0
1597022117,5,0
1597022417,1,0
1597026017,5,0
1597029319,4,0
1597032921,3,0
1597036518,4,0
1597040119,3,0
1597043118,0,1
1597043718,5,0
1597047318,4,0
1597050919,2,0
1597054517,7,0
1597058116,9,0
1597061417,1,0
1597061717,2,0
1597065317,4,0
1597068919,5,0
1597072519,3,0
1597075517,35,1
1597075817,57,0
1597076117,7,0
1597076719,1,0
1597079118,13,0
1597079418,12,0
1597079717,5,2
1597082718,6,2
1597083017,7,0
1597083318,3,0
1597086320,4,0
1597086617,4,0
1597086918,4,0
1597089916,1,0
1597090217,5,0
1597090518,11,0
1597093520,2,0
1597093817,2,0
1597094118,7,0
1597097717,4,0
1597101317,5,0
1597104320,1,0
1597104618,3,0
1597104917,3,0
1597108217,1,0
1597108516,4,0
1597111816,1,0
1597112117,6,0
1597115718,5,0
1597119018,31,0
1597119317,4,0
1597122916,2,0
1597126518,11,0
1597129519,1,0
1597130117,2,0
1597130417,8,0
1597133119,0,1
1597133418,2,0
1597133716,2,0
1597134016,7,0
1597137319,5,0
1597137617,2,0
1597140617,1,0
1597140919,3,0
1597141517,0,1
1597141819,0,3
1597143919,32,0
1597144217,56,0
1597144515,9,0
1597147518,8,0
1597147817,9,0
1597148119,3,0
1597148417,3,0
1597151416,3,0
1597151719,2,0
1597152016,3,0
1597154720,5,0
1597155016,4,0
1597155319,4,0
1597158317,0,1
1597158617,9,0
1597158918,4,0
1597159217,2,0
1597161917,2,0
1597162217,2,0
1597162518,4,0
1597165517,2,0
1597165816,3,0
1597166118,10,0
1597166416,1,0
1597169418,6,0
1597169716,1,0
1597170017,1,0
1597173318,6,0
1597173618,1,0
1597176616,8,0
1597176917,1,0
1597177217,2,0
1597179919,1,0
1597180217,1,0
1597180517,7,0
1597180817,1,0
1597183817,5,0
1597184117,5,0
1597184418,1,0
1597187417,1,0
1597187717,3,0
1597190718,0,1
1597191016,2,0
1597191318,3,0
1597194617,1,0
1597194920,3,0
1597198517,6,0
1597201817,1,0
1597202118,2,0
1597205716,8,0
1597209317,5,0
1597209618,11,0
1597212616,1,0
1597212917,7,0
1597213217,3,0
1597215921,21,0
1597216218,56,0
1597216517,3,0
1597216818,3,0
1597219518,9,0
1597219818,13,0
1597220121,6,0
1597220418,1,0
1597223120,2,0
1597223418,5,0
1597224017,2,0
1597226717,3,0
1597227018,3,0
1597227319,4,0
1597227618,2,0
1597230317,0,2
1597230618,6,0
1597230918,5,0
1597233917,0,1
1597234219,2,0
1597234518,9,0
1597237519,9,0
1597237816,20,0
1597238116,3,0
1597239018,7,0
1597239316,2,0
1597241119,4,0
1597241417,2,0
1597244719,1,3
1597245018,5,0
1597245319,3,0
1597248319,2,0
1597248917,7,0
1597249217,1,0
1597250716,0,10
1597251019,1,3
1597251316,0,6
1597251917,0,1
1597252519,5,0
1597252817,1,5
1597253117,0,3
1597253716,0,2
1597255219,0,1
1597255518,0,2
1597256116,13,0
1597259417,1,0
1597259717,7,0
1597260017,1,0
1597263317,7,0
1597266317,1,2
1597266618,1,0
1597266919,3,0
1597270518,5,0
1597273818,2,0
1597274116,8,0
1597277120,0,1
1597277417,1,0
1597277717,9,0
1597281319,5,0
1597284917,2,0
1597287919,0,2
1597288218,2,0
1597288519,3,0
1597291817,1,0
1597292118,4,0
1597293917,0,1
1597294218,16,1
1597294817,0,1
1597295716,5,0
1597298717,0,2
1597299018,2,0
1597299322,8,0
1597299617,11,0
1597302918,11,0
1597303216,4,0
1597304718,1,0
1597305917,11,0
1597306218,38,0
1597306517,2,0
1597309517,7,0
1597309817,9,0
1597310417,1,0
1597313120,4,0
1597313417,8,0
1597313718,3,0
1597314017,1,0
1597316719,4,0
1597317017,7,0
1597320318,3,0
1597320617,2,0
1597320917,1,0
1597323917,1,0
1597324217,4,0
1597324516,5,0
1597328117,5,0
1597328416,2,1
1597331116,0,1
1597331718,2,0
1597334116,9,0
1597334418,5,0
1597334720,2,0
1597335016,1,0
1597335317,1,0
1597335618,1,0
1597338319,1,0
1597338617,2,0
1597338916,1,0
1597339216,4,0
1597339519,6,0
1597341916,0,1
1597342517,3,0
1597345816,2,0
1597346117,5,0
1597349718,4,0
1597352717,1,0
1597353616,4,0
1597356617,3,0
1597356917,4,0
1597359918,0,1
1597360519,2,0
1597362916,10,0
1597363816,5,0
1597364117,4,0
1597368018,2,0
1597371016,2,0
1597371317,2,0
1597374919,3,0
1597377917,1,0
1597378517,2,0
1597382119,2,0
1597382720,6,0
1597383017,5,0
1597385417,1,0
1597385718,1,0
1597389017,1,0
1597389317,2,0
1597390217,0,1
1597392319,20,0
1597392616,20,0
1597392920,2,0
1597395916,11,1
1597396217,6,0
1597399517,3,0
1597399816,5,0
1597400117,1,0
1597402817,0,2
1597403117,2,1
1597403417,2,0
1597404618,16,0
1597406716,2,0
1597407016,3,0
1597407617,2,0
1597410319,1,0
1597410616,3,0
1597410917,4,0
1597414216,1,0
1597417817,1,0
1597418119,2,0
1597421119,1,0
1597421416,1,0
1597421720,8,0
1597422319,24,0
1597424717,0,1
1597425317,6,0
1597428920,4,0
1597432519,2,0
1597435816,12,0
1597436120,8,0
1597439416,2,0
1597439719,3,0
1597443016,2,0
1597443618,8,0
1597446917,6,0
1597450217,1,0
1597450520,4,0
1597454418,10,0
1597457117,0,2
1597457717,6,0
1597458017,3,0
1597461317,11,0
1597461617,1,0
1597464616,1,0
1597464916,10,0
1597465217,1,0
1597468516,4,0
1597468818,3,0
1597471517,1,1
1597471816,1,0
1597472117,8,0
1597472417,6,0
1597475416,1,0
1597475718,6,0
1597476019,4,0
1597478720,0,1
1597479017,1,0
1597479319,4,0
1597479618,2,0
1597482319,0,1
1597482916,2,0
1597483217,2,0
1597485917,0,1
1597486518,4,0
1597486816,2,0
1597489219,0,2
1597489816,1,0
1597490118,3,0
1597490417,4,0
1597491018,0,1
1597493719,3,0
1597494017,1,0
1597497317,2,0
1597497617,2,0
1597500318,0,1
1597500618,2,0
1597500918,2,0
1597501217,1,0
1597504517,4,0
1597505117,22,0
1597505417,4,0
1597508120,4,0
1597511118,0,2
1597511418,1,0
1597511719,3,0
1597514719,25,1
1597515018,68,0
1597515319,7,0
1597518319,7,0
1597518919,25,0
1597521920,6,0
1597522817,196,0
1597525519,1,0
1597525816,2,0
1597526117,3,0
1597529120,3,0
1597529418,2,0
1597529719,8,1
1597530018,1,0
1597532720,2,0
1597533317,9,0
1597536320,1,0
1597536617,1,0
1597536919,2,0
1597539919,1,0
1597540217,1,0
1597540518,1,0
1597543520,1,0
1597544118,11,0
1597545017,5,0
1597545316,12,0
1597547118,1,0
1597547719,4,0
1597551317,7,0
1597554919,6,0
1597555521,17,0
1597556718,0,4
1597557619,11,0
1597557918,6,1
1597558218,1,0
1597558517,6,0
1597558818,12,0
1597562119,6,0
1597562416,2,0
1597565117,1,0
1597565717,4,0
1597569318,1,0
1597569618,3,0
1597572918,5,0
1597575921,1,1
1597576517,3,0
1597576818,1,0
1597580120,1,0
1597583719,2,0
1597584019,1,0
1597587317,3,0
1597587617,1,0
1597590320,0,2
1597590617,1,0
1597590920,3,0
1597594217,32,1
1597594517,4,0
1597597520,7,0
1597597817,18,0
1597598117,7,0
1597601118,4,0
1597601418,4,0
1597601716,4,0
1597604721,6,0
1597605017,5,0
1597605316,2,0
1597605916,0,1
1597608319,2,0
1597608618,5,0
1597608917,2,0
1597612519,8,0
1597615519,1,0
1597615819,1,0
1597616118,8,0
1597619417,1,0
1597619720,6,0
1597623017,4,0
1597623319,10,0
1597626319,1,0
1597626617,1,0
1597626920,2,0
1597629920,2,0
1597630217,2,0
1597630516,5,0
1597634117,12,0
1597637717,6,0
1597638619,1,3
1597639218,45,0
1597639516,15,0
1597641319,4,0
1597641617,3,0
1597644919,7,0
1597645217,5,0
1597648517,9,0
1597648817,6,0
1597650018,0,1
1597650319,15,0
1597652118,3,0
1597653017,13,0
1597653316,2,1
1597655116,0,1
1597655717,9,0
1597656016,2,0
1597659318,5,0
